protein_family,best_model,best_metric,best_score
GPCR,xgb,f1_score,0.9967
Enzyme,rf,f1_score,1.0
GPCR,svc,f1_score,0.9966
Enzyme,mlp,f1_score,0.9821
Enzyme,xgb,f1_score,0.9988
NR,xgb,f1_score,1.0
GPCR,rf,f1_score,0.9808
Kinase,xgb,f1_score,1.0
GPCR,svc,f1_score,0.9963
Enzyme,xgb,f1_score,0.9899
Enzyme,rf,f1_score,0.9867
Enzyme,svc,f1_score,0.9974
Enzyme,rf,f1_score,1.0
GPCR,mlp,f1_score,0.9968
Enzyme,mlp,f1_score,0.9985
Other,rf,f1_score,1.0
Enzyme,rf,f1_score,0.9416
Enzyme,rf,f1_score,0.9903
Enzyme,xgb,f1_score,0.9937
Other,xgb,f1_score,1.0
Enzyme,svc,f1_score,0.9958
GPCR,xgb,f1_score,0.9774
Enzyme,xgb,f1_score,1.0
Enzyme,xgb,f1_score,0.9817
Enzyme,rf,f1_score,0.9937
GPCR,xgb,f1_score,0.9921
Enzyme,svc,f1_score,0.9840000000000001
GPCR,mlp,f1_score,0.9945
Enzyme,xgb,f1_score,0.9856
Kinase,svc,f1_score,1.0
Other,svc,f1_score,0.9935
Other,xgb,f1_score,1.0
Enzyme,rf,f1_score,1.0
Enzyme,rf,f1_score,0.9996
Other,svc,f1_score,1.0
GPCR,xgb,f1_score,0.9961
Enzyme,mlp,f1_score,0.9992
Kinase,rf,f1_score,0.9989
Kinase,svc,f1_score,0.9934
Kinase,rf,f1_score,1.0
Enzyme,svc,f1_score,0.9951
Enzyme,rf,f1_score,1.0
Kinase,mlp,f1_score,1.0
Enzyme,xgb,f1_score,1.0
Other,mlp,f1_score,0.9978
GPCR,rf,f1_score,1.0
Enzyme,svc,f1_score,0.9989
Other,rf,f1_score,1.0
Enzyme,svc,f1_score,1.0
Kinase,svc,f1_score,0.9909
Enzyme,rf,f1_score,0.9862
GPCR,xgb,f1_score,1.0
Enzyme,xgb,f1_score,0.993
NR,rf,f1_score,1.0
NR,rf,f1_score,0.9881
Enzyme,rf,f1_score,1.0
GPCR,svc,f1_score,1.0
IC,rf,f1_score,0.9601
Enzyme,rf,f1_score,1.0
Enzyme,rf,f1_score,0.9832
Enzyme,svc,f1_score,1.0
Enzyme,rf,f1_score,0.9974
Other,rf,f1_score,1.0
Kinase,rf,f1_score,0.9964
