,protein_family,xgb_accuracy,xgb_f1_score,xgb_cohen_kappa,xgb_mcc,rf_accuracy,rf_f1_score,rf_cohen_kappa,rf_mcc,svc_accuracy,svc_f1_score,svc_cohen_kappa,svc_mcc,mlp_accuracy,mlp_f1_score,mlp_cohen_kappa,mlp_mcc,train_count,test_count,actives_count,decoys_count,best_model,best_metric,best_score
P22001,IC,0.9853,0.9854,0.9672,0.9677,0.9779,0.9777,0.9493,0.9506,0.9559,0.9559,0.9004,0.9004,0.9779,0.9779,0.9499,0.95,542,136,226,452,xgb,f1_score,0.9854
Q9NR96,Other,0.9592,0.9528,0.6475,0.6919,0.9796,0.9782,0.8464,0.8566,0.9796,0.9806,0.8778,0.8844,0.9796,0.9806,0.8778,0.8844,193,49,22,220,svc,f1_score,0.9806
O15382,Enzyme,0.9706,0.9679,0.7848,0.8036,0.9804,0.9793,0.8645,0.8726,0.9608,0.9608,0.7563,0.7563,0.9706,0.9679,0.7848,0.8036,404,102,46,460,rf,f1_score,0.9793
P51681,GPCR,0.9966,0.9965,0.9788,0.979,0.9977,0.9977,0.986,0.986,0.9954,0.9954,0.9726,0.9727,0.9973,0.9973,0.9838,0.9838,10436,2610,1186,11860,rf,f1_score,0.9977
Q02742,Enzyme,0.9923,0.9917,0.8313,0.8434,0.9959,0.9957,0.9163,0.9195,0.9939,0.994,0.8878,0.8884,0.9933,0.9934,0.8751,0.8751,7814,1954,264,9504,rf,f1_score,0.9957
P48048,IC,0.9883,0.9867,0.7217,0.7514,0.9971,0.997,0.9419,0.9435,0.9961,0.9962,0.929,0.9296,0.9971,0.9971,0.9476,0.9489,4084,1022,138,4968,mlp,f1_score,0.9971
P12931,Kinase,0.9958,0.9958,0.9746,0.9747,0.9944,0.9944,0.9659,0.9661,0.9986,0.9986,0.9917,0.9917,0.9937,0.9937,0.9621,0.9621,5746,1437,653,6530,svc,f1_score,0.9986
P16083,Enzyme,0.9967,0.9967,0.98,0.9802,1.0,1.0,1.0,1.0,0.9935,0.9936,0.9619,0.9626,0.9869,0.9867,0.9188,0.9195,1223,306,139,1390,rf,f1_score,1.0
Q9Y5Y4,GPCR,0.9976,0.9976,0.9852,0.9852,0.9986,0.9986,0.9915,0.9916,0.9969,0.9969,0.9813,0.9814,0.9979,0.9979,0.9874,0.9874,11519,2880,1309,13090,rf,f1_score,0.9986
O15496,Enzyme,0.9437,0.9304,0.4779,0.5604,0.9577,0.9512,0.6468,0.6913,0.9437,0.9437,0.6359,0.6359,0.9718,0.9718,0.8179,0.8179,281,71,32,320,mlp,f1_score,0.9718
Q16678,Other,0.9873,0.9868,0.9162,0.9194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,624,157,71,710,rf,f1_score,1.0
P60842,Other,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,255,64,29,290,xgb,f1_score,1.0
P00374,Enzyme,0.9911,0.9909,0.9441,0.945,0.9911,0.9909,0.9436,0.9451,0.992,0.9919,0.9512,0.9513,0.9884,0.9883,0.9283,0.9287,4479,1120,509,5090,svc,f1_score,0.9919
P48449,Enzyme,0.9748,0.9736,0.8364,0.8414,0.9874,0.987,0.92,0.9229,0.9832,0.9835,0.9038,0.9048,0.9748,0.9757,0.8611,0.8648,950,238,108,1080,rf,f1_score,0.987
P09871,Other,0.9982,0.9982,0.9646,0.9652,0.9982,0.9982,0.9646,0.9652,0.9982,0.9982,0.9646,0.9652,0.9982,0.9982,0.9646,0.9652,2220,555,75,2700,xgb,f1_score,0.9982
Q14833,GPCR,0.9794,0.9782,0.864,0.8721,0.9897,0.9894,0.9355,0.9375,0.9691,0.9698,0.825,0.8264,0.9897,0.9894,0.9355,0.9375,387,97,44,440,rf,f1_score,0.9894
P30872,GPCR,0.9512,0.9512,0.8915,0.8915,0.9756,0.9754,0.9448,0.9463,0.9024,0.9046,0.797,0.814,0.9268,0.9274,0.8401,0.8412,163,41,68,136,rf,f1_score,0.9754
P14324,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4262,1066,144,5184,xgb,f1_score,1.0
O00421,GPCR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2752,689,93,3348,xgb,f1_score,1.0
Q05655,Kinase,0.9949,0.9948,0.9686,0.9691,0.9949,0.9948,0.9686,0.9691,0.9847,0.9851,0.9126,0.9142,0.9898,0.9897,0.9373,0.9377,1566,392,178,1780,xgb,f1_score,0.9948
P06756,Other,0.987,0.9866,0.916,0.9193,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.987,0.9866,0.916,0.9193,308,77,35,350,rf,f1_score,1.0
P10635,Enzyme,0.8627,0.8402,0.3959,0.4389,0.8824,0.8569,0.4516,0.5401,0.8824,0.8824,0.5952,0.5952,0.8431,0.8431,0.4603,0.4603,201,51,42,210,svc,f1_score,0.8824
P50750,Kinase,0.9956,0.9954,0.91,0.9137,0.9974,0.9973,0.9478,0.9491,0.9982,0.9983,0.9678,0.9683,0.9982,0.9982,0.9668,0.9668,4528,1133,153,5508,svc,f1_score,0.9983
P25105,GPCR,0.9835,0.9827,0.8896,0.8951,0.9858,0.9853,0.9066,0.9106,0.9905,0.9908,0.9448,0.9462,0.9835,0.9835,0.9,0.9001,1689,423,192,1920,svc,f1_score,0.9908
P00491,Enzyme,0.993,0.993,0.9572,0.9573,1.0,1.0,1.0,1.0,0.9977,0.9977,0.9861,0.9862,0.9977,0.9977,0.9861,0.9862,1716,429,195,1950,rf,f1_score,1.0
P09874,Enzyme,0.9955,0.9955,0.9724,0.9726,0.9913,0.9912,0.9455,0.9464,0.9916,0.9916,0.9496,0.9497,0.9947,0.9947,0.9677,0.9677,14273,3569,1622,16220,xgb,f1_score,0.9955
P49682,GPCR,0.9953,0.9951,0.9036,0.9078,0.9953,0.9951,0.9036,0.9078,0.9949,0.995,0.9065,0.9069,0.997,0.9969,0.9406,0.9423,9412,2354,318,11448,mlp,f1_score,0.9969
Q08881,Kinase,0.9862,0.9856,0.9102,0.9138,0.9901,0.9899,0.9371,0.939,0.9921,0.992,0.9512,0.9515,0.9901,0.9899,0.9371,0.939,2024,506,230,2300,svc,f1_score,0.992
P00797,Enzyme,0.9972,0.9972,0.9832,0.9832,0.998,0.998,0.988,0.988,0.9974,0.9974,0.9846,0.9846,0.9984,0.9984,0.9904,0.9904,20257,5065,2302,23020,mlp,f1_score,0.9984
Q9H7Z7,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9318,0.9398,0.6916,0.727,176,44,20,200,xgb,f1_score,1.0
O15164,Epigenetic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,228,58,26,260,xgb,f1_score,1.0
O75164,Epigenetic,0.9717,0.9694,0.8087,0.8239,0.9811,0.9802,0.8787,0.8853,0.9717,0.971,0.8266,0.828,0.9811,0.9802,0.8787,0.8853,422,106,48,480,rf,f1_score,0.9802
Q13133,NR,0.9869,0.9864,0.9142,0.9176,0.9869,0.9864,0.9142,0.9176,0.9794,0.9796,0.8775,0.878,0.9831,0.9835,0.9016,0.9029,2129,533,242,2420,xgb,f1_score,0.9864
O43174,Enzyme,0.9884,0.9869,0.7278,0.7564,0.9985,0.9985,0.9722,0.9726,0.9985,0.9986,0.9736,0.974,0.9985,0.9986,0.9736,0.974,2752,689,93,3348,svc,f1_score,0.9986
P42330,Enzyme,0.9906,0.9896,0.7855,0.8042,0.9956,0.9954,0.9089,0.9127,0.9906,0.9907,0.8268,0.8272,0.9939,0.9936,0.8733,0.878,7222,1806,244,8784,rf,f1_score,0.9954
P10826,NR,0.9906,0.9903,0.9393,0.941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9953,0.9953,0.9718,0.9722,844,212,96,960,rf,f1_score,1.0
Q92793,Epigenetic,0.9278,0.9063,0.3414,0.4537,0.9485,0.9393,0.5921,0.6485,0.9588,0.9588,0.7551,0.7551,0.9175,0.9175,0.5101,0.5101,387,97,44,440,svc,f1_score,0.9588
O95977,GPCR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9609,0.9639,0.8063,0.8219,510,128,58,580,xgb,f1_score,1.0
