protein_family,best_model,best_metric,best_score
Enzyme,mlp,cohen_kappa,0.9237
Enzyme,xgb,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,0.885
Enzyme,svc,cohen_kappa,0.9035
Enzyme,rf,cohen_kappa,0.8031
Kinase,mlp,cohen_kappa,0.9837
GPCR,xgb,cohen_kappa,1.0
GPCR,rf,cohen_kappa,0.9822
Enzyme,xgb,cohen_kappa,1.0
Kinase,rf,cohen_kappa,0.8791
Kinase,rf,cohen_kappa,0.9793
Other,rf,cohen_kappa,0.9143
Enzyme,xgb,cohen_kappa,0.9189
Kinase,xgb,cohen_kappa,0.8787
Enzyme,xgb,cohen_kappa,0.8875
NR,rf,cohen_kappa,0.9839
Other,rf,cohen_kappa,0.9719
Kinase,svc,cohen_kappa,0.9804
NR,xgb,cohen_kappa,1.0
GPCR,svc,cohen_kappa,0.9876
GPCR,xgb,cohen_kappa,0.98
Enzyme,rf,cohen_kappa,1.0
GPCR,svc,cohen_kappa,0.9483
Enzyme,mlp,cohen_kappa,0.9596
Enzyme,xgb,cohen_kappa,0.993
NR,xgb,cohen_kappa,1.0
GPCR,rf,cohen_kappa,0.9565
Kinase,xgb,cohen_kappa,1.0
GPCR,svc,cohen_kappa,0.9346
Enzyme,xgb,cohen_kappa,0.9358
Enzyme,rf,cohen_kappa,0.9194
Enzyme,svc,cohen_kappa,0.9499
Enzyme,rf,cohen_kappa,1.0
GPCR,mlp,cohen_kappa,0.9384
Enzyme,mlp,cohen_kappa,0.9712
Other,rf,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,0.8667
Enzyme,rf,cohen_kappa,0.9422
Enzyme,xgb,cohen_kappa,0.9621
Other,xgb,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,0.9744
GPCR,xgb,cohen_kappa,0.9491
Enzyme,xgb,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,0.9588
Enzyme,rf,cohen_kappa,0.9857
GPCR,xgb,cohen_kappa,0.951
Enzyme,svc,cohen_kappa,0.9053
GPCR,mlp,cohen_kappa,0.9668
Enzyme,xgb,cohen_kappa,0.9105
Kinase,svc,cohen_kappa,1.0
Other,svc,cohen_kappa,0.9611
Other,xgb,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,0.9918
Other,svc,cohen_kappa,1.0
GPCR,xgb,cohen_kappa,0.9763
Enzyme,mlp,cohen_kappa,0.9838
Kinase,rf,cohen_kappa,0.9936
Kinase,svc,cohen_kappa,0.9593
Kinase,rf,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,0.9066
Enzyme,rf,cohen_kappa,1.0
Kinase,mlp,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,1.0
Other,mlp,cohen_kappa,0.9572
GPCR,rf,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,0.9786
Other,rf,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,1.0
Kinase,svc,cohen_kappa,0.9426
Enzyme,rf,cohen_kappa,0.9158
GPCR,xgb,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,0.9573
